Version, Version Name, Name, LOCs, Churn, Age, Weighted Age, Number of Authors, Revisions, LOC Touched, LOC Added, Number of Fix, Buggy
1,refs/tags/release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,121,121,0,0,2,4,121,121,0,false,
1,refs/tags/release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,215,215,0,0,2,5,215,215,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,942,942,0,0,3,14,942,942,4,true,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,78,78,0,0,3,3,78,78,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,170,170,0,0,2,4,170,170,2,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,441,441,0,0,3,9,441,441,4,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,185,185,0,0,3,5,185,185,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,515,515,0,0,3,7,515,515,3,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,130,130,0,0,3,5,130,130,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,152,152,0,0,3,3,152,152,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,124,124,0,0,1,1,124,124,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,123,123,0,0,3,5,123,123,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,241,241,0,0,3,4,241,241,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,493,493,0,0,3,9,493,493,1,true,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,688,688,0,0,2,6,688,688,2,true,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,174,174,0,0,2,4,174,174,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,42,42,0,0,2,2,42,42,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,148,148,0,0,3,5,148,148,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,55,55,0,0,3,3,55,55,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,139,139,0,0,3,8,139,139,3,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,71,71,0,0,3,4,71,71,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,71,71,0,0,2,3,71,71,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,667,667,0,0,3,12,667,667,3,true,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,208,208,0,0,3,7,208,208,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,151,151,0,0,3,9,151,151,3,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,166,166,0,0,3,6,166,166,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,53,53,0,0,3,4,53,53,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,140,140,0,0,3,4,140,140,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,144,144,0,0,3,4,144,144,0,true,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,91,91,0,0,2,6,91,91,2,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,68,68,0,0,1,1,68,68,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,69,69,0,0,2,2,69,69,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,71,71,0,0,2,2,71,71,0,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,93,93,0,0,1,2,93,93,1,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,195,195,0,0,2,4,195,195,3,false,
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,341,341,0,0,2,4,341,341,3,false,
