Version,File Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,WeightedAge,Buggy
1,.gitignore,1.6E7,2.2E7,7000000.0,0.0,3000000.0,1.9E7,1.2E7,2714286.0,1.6E7,1.2E7,2285715.0,1.81E8,1.18E8,2.5857143E7,9.6285715E7,2.4136364E7,No
1,CHANGELOG.asciidoc,6.83E8,1.256E9,5.8E8,0.0,7000000.0,9.83E8,1.6E7,1694828.0,7.1E8,1.6E7,1224138.0,6.66E9,4.47E8,1.1482759E7,4.9285715E7,2.2341675E7,No
1,CONTRIBUTING.asciidoc,1.9E7,4.6E7,6000000.0,0.0,2000000.0,3.4E7,1.6E7,5666667.0,2.2E7,1.6E7,3666667.0,2.6E7,1.6E7,4333334.0,3.9E7,1.2391305E7,No
1,DISCLAIMER,7000000.0,7000000.0,2000000.0,0.0,2000000.0,7000000.0,7000000.0,3500000.0,7000000.0,7000000.0,3500000.0,6000000.0,3000000.0,3000000.0,1.5714286E7,0.0,No
1,LICENSE,1.97E8,3.35E9,1.4E7,0.0,2000000.0,1.795E9,7.32E8,1.28214286E8,2.4E8,7.24E8,1.7142858E7,6.1E7,1.9E7,4357143.0,8.7857143E7,6.8573988E7,No
1,NOTICE,4000000.0,1.181E9,1.2E7,0.0,2000000.0,5.93E8,5.23E8,4.9416667E7,5000000.0,5.23E8,416667.0,4.7E7,1.7E7,3916667.0,2.7857143E7,1.3171042E7,No
1,README.asciidoc,1.39E8,5.69E8,1.1E8,0.0,5000000.0,3.71E8,5.0E7,3372728.0,1.73E8,3.6E7,1572728.0,3.82E8,3.5E7,3472728.0,5.6571429E7,3.2725584E7,No
1,bin/bump.sh,4.1E7,1.19E8,8000000.0,0.0,4000000.0,8.3E7,2.6E7,1.0375E7,4.7E7,2.6E7,5875000.0,1.762E9,8.84E8,2.2025E8,3.7857143E7,3818728.0,No
1,bin/clean-grapes.sh,3.1E7,3.9E7,3000000.0,0.0,3000000.0,3.7E7,1.9E7,1.2333334E7,3.5E7,1.9E7,1.1666667E7,1.743E9,8.84E8,5.81E8,3.5142858E7,7626374.0,No
1,bin/gephi-mock.py,4.1E7,7.6E7,4000000.0,0.0,3000000.0,6.2E7,2.5E7,1.55E7,4.8E7,1.9E7,1.2E7,1.745E9,8.84E8,4.3625E8,3.5142858E7,1.9701128E7,No
1,bin/gremlin.sh,2.1E7,2.6E7,4000000.0,0.0,3000000.0,2.4E7,1.9E7,6000000.0,2.2E7,1.9E7,5500000.0,1.255E9,8.56E8,3.1375E8,7.7857143E7,4.2994506E7,No
1,bin/process-docs.sh,3.3E7,8.0E7,1.2E7,0.0,4000000.0,6.1E7,1.9E7,5083334.0,4.2E7,1.9E7,3500000.0,1.279E9,8.56E8,1.06583334E8,7.7857143E7,6.3916072E7,No
1,bin/publish-docs.sh,5.1E7,1.85E8,1.7E7,0.0,4000000.0,1.23E8,2.8E7,7235295.0,6.1E7,1.9E7,3588236.0,8.98E8,8.56E8,5.282353E7,5.0285715E7,3.164556E7,No
1,data/grateful-dead-typed.json,8.08E8,8.28E8,1.2E7,0.0,2000000.0,8.18E8,8.08E8,6.8166667E7,8.08E8,8.07E8,6.7333334E7,2.23E8,3.9E7,1.8583334E7,4.9714286E7,3.7758972E7,No
1,data/grateful-dead.json,8.08E8,2.444E9,1.2E7,0.0,2000000.0,1.626E9,8.08E8,1.355E8,8.08E8,8.07E8,6.7333334E7,2.23E8,3.9E7,1.8583334E7,4.9714286E7,3.8201719E7,No
1,data/grateful-dead.kryo,0.0,0.0,1.7E7,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2E8,8.0E7,1.882353E7,4.9714286E7,0.0,No
1,data/grateful-dead.txt,8.08E8,8.08E8,1000000.0,0.0,1000000.0,8.08E8,8.08E8,8.08E8,8.08E8,8.08E8,8.08E8,1.1E7,1.1E7,1.1E7,8285715.0,0.0,No
1,data/grateful-dead.xml,1000000.0,1.42347E11,1.4E7,0.0,2000000.0,7.1174E10,3.6241E10,5.083857143E9,1000000.0,3.624E10,71429.0,1.053E9,3.65E8,7.5214286E7,9.7285715E7,3.53553E7,No
1,data/script-input.groovy,3.9E7,8.9E7,6000000.0,0.0,3000000.0,6.4E7,2.9E7,1.0666667E7,3.9E7,2.9E7,6500000.0,1.781E9,8.7E8,2.96833334E8,2.9857143E7,7958267.0,No
1,data/tinkerpop-classic-typed.json,6000000.0,2.0E7,8000000.0,0.0,1000000.0,1.3E7,6000000.0,1625000.0,6000000.0,5000000.0,750000.0,1.97E8,3.9E7,2.4625E7,4.4714286E7,1.9257143E7,No
1,data/tinkerpop-classic.json,6000000.0,3.2E7,1.6E7,0.0,2000000.0,1.9E7,6000000.0,1187500.0,6000000.0,5000000.0,375000.0,3.03E8,3.9E7,1.89375E7,6.9E7,2.9580358E7,No
1,data/tinkerpop-classic.kryo,0.0,0.0,2.7E7,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84E8,3.65E8,2.9037038E7,7.2142858E7,0.0,No
1,data/tinkerpop-classic.txt,6000000.0,6000000.0,1000000.0,0.0,1000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,5000000.0,5000000.0,5000000.0,1.2714286E7,0.0,No
1,data/tinkerpop-classic.xml,1000000.0,2.27E8,1.1E7,0.0,2000000.0,1.14E8,5.4E7,1.0363637E7,1000000.0,5.4E7,90910.0,8.69E8,3.65E8,7.9E7,9.7285715E7,3.5527376E7,No
1,data/tinkerpop-crew-typed.json,6000000.0,2.6E7,1.3E7,0.0,2000000.0,1.6E7,6000000.0,1230770.0,6000000.0,5000000.0,461539.0,2.4E8,3.9E7,1.8461539E7,4.2857143E7,1.2258242E7,No
